sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,decile_score,score_text,two_year_recid,sex_race
male,58,greater than 45,hispanic,0,0,0,0,f,possession of heroin,2,low,0,male-hispanic
male,56,greater than 45,caucasian,0,0,0,0,f,possession of cocaine,1,low,0,male-caucasian
male,24,less than 25,other,0,0,0,0,f,burglary unoccupied dwelling,2,low,0,male-other
male,57,greater than 45,hispanic,0,0,0,1,f,driving while license revoked,1,low,0,male-hispanic
male,66,greater than 45,african-american,0,0,0,3,f,agg battery grt/bod/harm,1,low,0,male-african-american
male,37,25 - 45,african-american,0,0,0,2,m,battery,9,high,1,male-african-american
male,45,greater than 45,caucasian,0,0,0,2,f,lewd or lascivious molestation,3,low,0,male-caucasian
male,23,less than 25,african-american,0,0,0,0,f,possession of cannabis,3,low,1,male-african-american
male,34,25 - 45,african-american,0,0,0,2,m,battery,2,low,0,male-african-american
female,23,less than 25,african-american,0,0,0,1,m,battery,4,low,0,female-african-american
male,50,greater than 45,caucasian,0,0,0,1,f,sexual performance by a child,1,low,0,male-caucasian
female,37,25 - 45,caucasian,0,0,0,0,m,leaving acc/unattended veh,3,low,0,female-caucasian
male,44,25 - 45,caucasian,0,0,0,4,m,battery,4,low,0,male-caucasian
male,27,25 - 45,african-american,0,0,0,0,m,criminal mischief,2,low,0,male-african-american
female,28,25 - 45,african-american,0,0,0,0,f,aggrav battery w/deadly weapon,8,high,0,female-african-american
male,38,25 - 45,african-american,0,0,0,2,f,driving while license revoked,1,low,0,male-african-american
female,28,25 - 45,african-american,0,0,0,1,f,arrest case no charge,9,high,0,female-african-american
male,38,25 - 45,african-american,0,0,0,15,f,possession of cocaine,9,high,0,male-african-american
male,28,25 - 45,african-american,0,0,0,2,m,possess cannabis/20 grams or less,5,medium,0,male-african-american
female,51,greater than 45,caucasian,0,0,0,0,m,driving under the influence,1,low,1,female-caucasian
male,51,greater than 45,caucasian,0,0,0,0,m,battery,2,low,0,male-caucasian
male,48,greater than 45,african-american,0,0,0,0,f,aggravated battery (firearm/actual possession),1,low,0,male-african-american
female,30,25 - 45,african-american,0,0,0,2,f,grand theft in the 3rd degree,7,medium,0,female-african-american
female,41,25 - 45,african-american,0,0,0,5,m,battery,6,medium,0,female-african-american
male,37,25 - 45,african-american,0,0,0,0,m,battery,1,low,0,male-african-american
male,54,greater than 45,african-american,0,0,0,11,f,grand theft (motor vehicle),9,high,0,male-african-american
male,23,less than 25,african-american,0,0,0,2,f,robbery / weapon,9,high,0,male-african-american
male,41,25 - 45,african-american,0,0,0,0,m,battery,1,low,0,male-african-american
male,52,greater than 45,caucasian,0,0,0,0,f,burglary with assault/battery,1,low,0,male-caucasian
male,52,greater than 45,african-american,0,0,0,0,f,uttering a forged instrument,4,low,0,male-african-american
male,28,25 - 45,caucasian,0,0,0,1,f,arrest case no charge,1,low,0,male-caucasian
male,30,25 - 45,african-american,0,0,2,11,m,battery,9,high,1,male-african-american
male,28,25 - 45,caucasian,0,0,0,1,f,criminal mischief,5,medium,0,male-caucasian
male,22,less than 25,african-american,0,0,0,0,f,pos cannabis w/intent sel/del,4,low,0,male-african-american
male,30,25 - 45,african-american,0,0,0,4,f,driving while license revoked,2,low,0,male-african-american
male,25,25 - 45,hispanic,0,0,0,4,f,possession of cannabis,4,low,0,male-hispanic
male,32,25 - 45,african-american,0,1,0,14,f,aggravated battery / pregnant,9,high,0,male-african-american
male,53,greater than 45,caucasian,0,0,0,1,m,battery,1,low,0,male-caucasian
male,25,25 - 45,african-american,0,0,0,0,f,grand theft in the 3rd degree,3,low,0,male-african-american
female,37,25 - 45,other,0,0,0,0,m,battery,1,low,0,female-other
female,40,25 - 45,other,0,0,0,3,f,driving while license revoked,2,low,0,female-other
female,31,25 - 45,hispanic,0,0,0,0,m,battery,2,low,0,female-hispanic
male,24,less than 25,hispanic,0,0,0,0,m,possess cannabis/20 grams or less,8,high,0,male-hispanic
male,29,25 - 45,african-american,0,0,0,1,m,battery,3,low,0,male-african-american
male,20,less than 25,african-american,0,0,0,1,f,carrying concealed firearm,8,high,1,male-african-american
male,39,25 - 45,other,0,0,0,0,f,throw in occupied dwell,1,low,0,male-other
male,27,25 - 45,african-american,0,0,0,4,f,arrest case no charge,4,low,0,male-african-american
female,37,25 - 45,african-american,0,0,0,2,f,arrest case no charge,1,low,0,female-african-american
male,20,less than 25,african-american,0,0,0,0,f,possession burglary tools,8,high,0,male-african-american
male,22,less than 25,hispanic,0,0,1,0,f,"poss3,4 methylenedioxymethcath",7,medium,0,male-hispanic
female,52,greater than 45,african-american,0,0,0,0,f,burglary conveyance unoccup,1,low,0,female-african-american
female,48,greater than 45,african-american,0,0,0,0,f,aggravated assault w/dead weap,2,low,0,female-african-american
male,25,25 - 45,caucasian,0,0,0,0,f,"deliver 3,4 methylenediox",5,medium,0,male-caucasian
male,27,25 - 45,caucasian,0,0,0,0,f,grand theft in the 3rd degree,6,medium,1,male-caucasian
female,22,less than 25,caucasian,0,0,0,1,f,pos cannabis w/intent sel/del,3,low,0,female-caucasian
female,41,25 - 45,african-american,0,0,0,2,m,battery on law enforc officer,3,low,0,female-african-american
female,25,25 - 45,other,0,0,0,0,f,aggravated assault w/dead weap,2,low,0,female-other
male,43,25 - 45,african-american,0,0,0,0,f,felony battery (dom strang),1,low,0,male-african-american
male,37,25 - 45,caucasian,0,0,0,3,f,arrest case no charge,1,low,0,male-caucasian
male,70,greater than 45,caucasian,0,0,0,1,m,battery,1,low,0,male-caucasian
male,46,greater than 45,caucasian,0,0,0,3,f,arrest case no charge,4,low,0,male-caucasian
male,26,25 - 45,african-american,0,0,0,1,m,battery,8,high,1,male-african-american
male,34,25 - 45,caucasian,0,0,0,5,m,battery,4,low,0,male-caucasian
male,34,25 - 45,african-american,0,0,0,5,m,driving license suspended,4,low,0,male-african-american
male,24,less than 25,other,0,0,0,0,f,failure to return hired vehicle,3,low,0,male-other
male,58,greater than 45,caucasian,0,0,0,2,f,agg fleeing/eluding high speed,3,low,0,male-caucasian
female,21,less than 25,african-american,0,0,0,0,m,battery,6,medium,0,female-african-american
male,62,greater than 45,caucasian,0,0,0,0,f,false imprisonment,1,low,0,male-caucasian
male,37,25 - 45,caucasian,0,0,0,5,f,battery on law enforc officer,3,low,0,male-caucasian
female,32,25 - 45,african-american,0,0,0,5,f,aggrav battery w/deadly weapon,1,low,0,female-african-american
male,23,less than 25,hispanic,0,0,0,0,f,burglary conveyance unoccup,3,low,0,male-hispanic
male,27,25 - 45,african-american,0,0,0,0,m,battery,1,low,0,male-african-american
female,42,25 - 45,caucasian,0,0,0,0,f,possession of cocaine,2,low,0,female-caucasian
male,24,less than 25,other,0,1,0,9,f,resist officer w/violence,10,high,1,male-other
male,27,25 - 45,african-american,0,0,0,0,f,aggrav battery w/deadly weapon,2,low,0,male-african-american
female,51,greater than 45,caucasian,0,0,0,0,m,battery on law enforc officer,1,low,0,female-caucasian
male,56,greater than 45,caucasian,0,0,0,0,m,battery on parking enfor speci,1,low,0,male-caucasian
male,29,25 - 45,african-american,0,0,0,7,f,arrest case no charge,9,high,0,male-african-american
male,27,25 - 45,caucasian,0,0,0,8,f,arrest case no charge,5,medium,0,male-caucasian
male,24,less than 25,african-american,0,1,0,2,f,burglary structure unoccup,9,high,1,male-african-american
male,28,25 - 45,caucasian,0,0,0,2,m,battery,3,low,1,male-caucasian
male,21,less than 25,hispanic,0,1,0,3,f,grand theft in the 3rd degree,5,medium,0,male-hispanic
female,36,25 - 45,african-american,0,0,0,0,f,aggrav battery w/deadly weapon,7,medium,0,female-african-american
female,23,less than 25,hispanic,0,0,0,1,m,operating w/o valid license,3,low,0,female-hispanic
male,28,25 - 45,caucasian,0,0,0,1,f,pos cannabis w/intent sel/del,5,medium,0,male-caucasian
male,36,25 - 45,caucasian,0,0,0,0,m,viol injunct domestic violence,3,low,0,male-caucasian
male,24,less than 25,african-american,0,0,0,0,f,grand theft in the 3rd degree,3,low,0,male-african-american
male,29,25 - 45,african-american,0,0,0,0,f,aggravated assault w/dead weap,1,low,0,male-african-american
female,30,25 - 45,caucasian,0,0,0,0,m,battery,6,medium,0,female-caucasian
male,51,greater than 45,hispanic,0,0,0,1,m,assault,1,low,0,male-hispanic
male,32,25 - 45,african-american,0,1,0,12,f,arrest case no charge,9,high,1,male-african-american
male,23,less than 25,african-american,0,0,1,1,f,grand theft in the 3rd degree,6,medium,0,male-african-american
male,47,greater than 45,african-american,0,0,0,3,f,possession burglary tools,3,low,0,male-african-american
male,37,25 - 45,caucasian,0,0,0,0,f,forging bank bills/promis note,1,low,0,male-caucasian
male,27,25 - 45,hispanic,0,0,0,0,m,battery,8,high,0,male-hispanic
male,39,25 - 45,other,0,0,0,0,m,battery,1,low,0,male-other
female,21,less than 25,caucasian,0,0,2,0,f,possession of cocaine,6,medium,0,female-caucasian
male,69,greater than 45,caucasian,0,0,0,0,m,aggravated assault w/dead weap,1,low,0,male-caucasian
male,21,less than 25,caucasian,0,0,0,2,f,arrest case no charge,6,medium,0,male-caucasian
male,22,less than 25,caucasian,0,0,0,0,f,possession of cocaine,4,low,0,male-caucasian
male,49,greater than 45,african-american,0,0,0,3,f,grand theft (motor vehicle),5,medium,0,male-african-american
male,29,25 - 45,african-american,0,0,1,2,m,battery,4,low,0,male-african-american
female,60,greater than 45,caucasian,0,0,0,0,m,battery,1,low,0,female-caucasian
female,20,less than 25,other,1,0,0,1,f,arrest case no charge,4,low,0,female-other
male,36,25 - 45,hispanic,0,0,0,1,f,felony/driving under influence,3,low,0,male-hispanic
male,30,25 - 45,caucasian,0,0,0,0,f,possession of cocaine,4,low,0,male-caucasian
male,21,less than 25,african-american,0,1,0,1,f,grand theft in the 3rd degree,3,low,0,male-african-american
male,34,25 - 45,caucasian,0,0,0,1,m,battery,1,low,0,male-caucasian
female,53,greater than 45,caucasian,0,0,0,1,m,battery,1,low,0,female-caucasian
female,24,less than 25,african-american,0,0,0,0,f,aggravated assault w/dead weap,4,low,0,female-african-american
male,42,25 - 45,african-american,0,0,0,1,f,arrest case no charge,1,low,0,male-african-american
male,28,25 - 45,african-american,0,0,0,1,m,battery,3,low,0,male-african-american
male,22,less than 25,african-american,0,0,0,4,f,grand theft in the 3rd degree,9,high,1,male-african-american
male,21,less than 25,caucasian,0,0,0,3,m,arrest case no charge,7,medium,0,male-caucasian
male,35,25 - 45,african-american,0,0,0,2,f,possession of cannabis,5,medium,0,male-african-american
male,53,greater than 45,african-american,0,0,0,2,f,felony driving while lic suspd,1,low,0,male-african-american
male,29,25 - 45,african-american,0,0,0,7,f,possession of cocaine,4,low,0,male-african-american
male,48,greater than 45,caucasian,1,0,0,23,f,felony petit theft,8,high,1,male-caucasian
female,52,greater than 45,caucasian,0,0,0,0,m,battery,1,low,0,female-caucasian
male,28,25 - 45,african-american,0,0,0,5,f,arrest case no charge,9,high,0,male-african-american
male,33,25 - 45,caucasian,0,0,0,3,m,battery,3,low,0,male-caucasian
female,28,25 - 45,hispanic,0,0,0,0,f,arrest case no charge,2,low,0,female-hispanic
male,29,25 - 45,african-american,1,0,0,2,f,aggravated battery / pregnant,5,medium,0,male-african-american
male,25,25 - 45,caucasian,0,0,0,0,f,resist officer w/violence,2,low,0,male-caucasian
male,56,greater than 45,african-american,0,0,0,5,f,driving while license revoked,3,low,0,male-african-american
male,27,25 - 45,african-american,0,0,0,9,f,aggravated battery / pregnant,8,high,1,male-african-american
male,32,25 - 45,african-american,0,0,0,3,f,battery on law enforc officer,2,low,0,male-african-american
male,60,greater than 45,other,0,0,0,4,f,arrest case no charge,1,low,0,male-other
male,23,less than 25,hispanic,0,0,0,1,m,exposes culpable negligence,3,low,0,male-hispanic
female,39,25 - 45,caucasian,0,0,0,0,m,disorderly intoxication,6,medium,0,female-caucasian
male,56,greater than 45,caucasian,0,0,0,0,m,battery,1,low,0,male-caucasian
female,22,less than 25,african-american,0,0,0,0,f,"poss3,4 methylenedioxymethcath",7,medium,0,female-african-american
male,53,greater than 45,african-american,0,0,0,11,f,arrest case no charge,6,medium,0,male-african-american
male,21,less than 25,hispanic,0,0,0,0,m,battery,3,low,0,male-hispanic
male,22,less than 25,caucasian,0,0,0,0,f,leaving the scene of accident,3,low,0,male-caucasian
female,58,greater than 45,caucasian,0,0,0,2,m,dui property damage/injury,1,low,0,female-caucasian
male,42,25 - 45,other,0,0,0,1,f,arrest case no charge,1,low,0,male-other
male,29,25 - 45,caucasian,0,0,0,0,m,battery,6,medium,1,male-caucasian
male,22,less than 25,african-american,0,0,0,3,f,grand theft in the 3rd degree,7,medium,0,male-african-american
male,37,25 - 45,caucasian,0,0,0,0,f,crimin mischief damage $1000+,4,low,0,male-caucasian
male,27,25 - 45,caucasian,0,0,0,3,m,fleeing or eluding a leo,1,low,0,male-caucasian
male,26,25 - 45,african-american,0,0,0,3,f,burglary unoccupied dwelling,4,low,0,male-african-american
male,33,25 - 45,caucasian,0,0,0,0,f,aggravated battery / pregnant,1,low,0,male-caucasian
male,29,25 - 45,african-american,0,0,0,2,f,arrest case no charge,6,medium,0,male-african-american
male,36,25 - 45,caucasian,0,0,0,2,m,battery,1,low,0,male-caucasian
female,24,less than 25,caucasian,0,0,0,0,f,"poss3,4 methylenedioxymethcath",5,medium,0,female-caucasian
male,34,25 - 45,caucasian,0,0,0,0,m,dui level 0.15 or minor in veh,1,low,0,male-caucasian
male,25,25 - 45,hispanic,0,0,0,2,f,arrest case no charge,5,medium,1,male-hispanic
male,24,less than 25,african-american,0,0,0,1,m,battery,2,low,1,male-african-american
male,61,greater than 45,caucasian,0,0,0,4,f,arrest case no charge,1,low,0,male-caucasian
female,50,greater than 45,african-american,0,0,0,3,f,aggravated assault w/dead weap,2,low,0,female-african-american
male,30,25 - 45,african-american,0,0,0,1,m,battery,1,low,0,male-african-american
male,38,25 - 45,african-american,0,0,0,5,f,possession of cannabis,3,low,0,male-african-american
male,24,less than 25,caucasian,0,0,0,0,m,battery,1,low,0,male-caucasian
male,20,less than 25,other,0,0,1,0,f,possession of cocaine,8,high,1,male-other
male,27,25 - 45,african-american,0,0,0,13,m,possess cannabis/20 grams or less,8,high,1,male-african-american
male,28,25 - 45,caucasian,0,0,0,1,f,agg battery grt/bod/harm,4,low,1,male-caucasian
male,26,25 - 45,african-american,1,1,0,10,f,aggravated battery,9,high,1,male-african-american
male,28,25 - 45,african-american,0,0,0,5,f,possession of alprazolam,10,high,0,male-african-american
male,63,greater than 45,caucasian,0,0,0,2,f,felony dui (level 3),1,low,0,male-caucasian
male,42,25 - 45,african-american,0,0,0,0,f,aggravated assault w/firearm,1,low,0,male-african-american
male,23,less than 25,african-american,1,2,2,6,f,driving while license revoked,6,medium,0,male-african-american
male,54,greater than 45,african-american,0,0,0,2,m,battery,1,low,0,male-african-american
male,35,25 - 45,african-american,0,0,0,1,m,battery,2,low,0,male-african-american
male,20,less than 25,african-american,0,0,0,1,f,fraudulent use of credit card,10,high,1,male-african-american
male,51,greater than 45,caucasian,0,0,0,0,f,felony battery (dom strang),1,low,0,male-caucasian
male,24,less than 25,hispanic,0,0,0,0,f,"poss 3,4 mdma (ecstasy)",10,high,0,male-hispanic
male,37,25 - 45,caucasian,0,0,0,3,f,possession of cocaine,2,low,0,male-caucasian
male,47,greater than 45,caucasian,0,0,0,3,f,drivg while lic suspd/revk/can,1,low,0,male-caucasian
male,56,greater than 45,caucasian,0,0,0,0,f,grand theft in the 3rd degree,1,low,0,male-caucasian
male,35,25 - 45,asian,0,0,0,0,f,burglary structure unoccup,6,medium,0,male-asian
male,58,greater than 45,hispanic,0,0,0,1,f,possession burglary tools,1,low,0,male-hispanic
male,29,25 - 45,hispanic,0,0,0,2,m,driving under the influence,4,low,0,male-hispanic
female,24,less than 25,caucasian,0,0,1,6,f,poss contr subst w/o prescript,9,high,1,female-caucasian
male,21,less than 25,caucasian,0,0,4,2,m,assault,9,high,1,male-caucasian
male,26,25 - 45,african-american,0,0,0,1,f,cash item w/intent to defraud,2,low,0,male-african-american
female,30,25 - 45,caucasian,0,0,0,0,m,driving under the influence,2,low,0,female-caucasian
male,29,25 - 45,caucasian,0,0,0,0,m,battery,4,low,1,male-caucasian
male,54,greater than 45,african-american,0,0,0,0,m,battery,1,low,0,male-african-american
male,29,25 - 45,african-american,0,0,0,4,f,false ownership info/pawn item,4,low,1,male-african-american
female,59,greater than 45,caucasian,0,0,0,0,m,dui property damage/injury,1,low,0,female-caucasian
male,38,25 - 45,african-american,0,0,0,0,f,tampering with physical evidence,5,medium,0,male-african-american
male,52,greater than 45,hispanic,0,0,0,20,f,false bomb report,3,low,0,male-hispanic
male,27,25 - 45,caucasian,0,0,0,2,f,possession of cocaine,5,medium,0,male-caucasian
male,51,greater than 45,caucasian,0,0,0,1,m,dui property damage/injury,1,low,0,male-caucasian
male,35,25 - 45,caucasian,0,0,0,1,f,arrest case no charge,2,low,0,male-caucasian
male,52,greater than 45,caucasian,0,0,0,4,m,battery,3,low,0,male-caucasian
male,48,greater than 45,other,0,0,0,12,f,aggravated assault w/firearm,5,medium,0,male-other
female,26,25 - 45,african-american,0,0,0,0,m,battery,2,low,0,female-african-american
female,48,greater than 45,caucasian,0,0,0,0,m,leave accd/attend veh/less $50,1,low,0,female-caucasian
male,30,25 - 45,hispanic,0,0,0,7,m,battery,4,low,0,male-hispanic
male,28,25 - 45,other,0,0,0,2,m,battery,1,low,0,male-other
male,33,25 - 45,african-american,0,0,0,2,m,battery,3,low,0,male-african-american
female,34,25 - 45,african-american,0,0,0,6,f,burglary conveyance unoccup,4,low,0,female-african-american
male,25,25 - 45,other,0,0,0,0,m,possess cannabis/20 grams or less,1,low,0,male-other
male,24,less than 25,caucasian,0,0,0,0,f,possession of cocaine,2,low,0,male-caucasian
male,52,greater than 45,african-american,0,0,0,4,m,fail register vehicle,5,medium,0,male-african-american
male,24,less than 25,caucasian,0,0,0,0,f,agg battery grt/bod/harm,2,low,0,male-caucasian
male,23,less than 25,caucasian,0,0,0,0,m,battery,9,high,0,male-caucasian
male,27,25 - 45,caucasian,0,1,3,6,f,felony battery (dom strang),4,low,0,male-caucasian
male,31,25 - 45,african-american,0,0,0,0,f,trespassing/construction site,2,low,0,male-african-american
male,32,25 - 45,caucasian,0,0,0,1,f,arrest case no charge,1,low,1,male-caucasian
male,37,25 - 45,other,0,0,0,1,f,crim use of personal id info,1,low,0,male-other
male,25,25 - 45,caucasian,0,0,0,0,f,possession of cannabis,3,low,0,male-caucasian
male,32,25 - 45,hispanic,1,1,0,20,f,arrest case no charge,10,high,0,male-hispanic
male,35,25 - 45,african-american,0,0,0,0,f,grand theft in the 3rd degree,7,medium,0,male-african-american
male,24,less than 25,caucasian,0,0,1,9,m,viol injunct domestic violence,10,high,1,male-caucasian
male,47,greater than 45,caucasian,0,0,0,1,m,battery,1,low,0,male-caucasian
male,44,25 - 45,african-american,0,0,0,1,m,reckless driving,3,low,0,male-african-american
male,23,less than 25,caucasian,0,0,0,2,f,possession of cannabis,2,low,0,male-caucasian
male,42,25 - 45,african-american,0,0,0,8,f,arrest case no charge,5,medium,0,male-african-american
male,58,greater than 45,african-american,0,0,0,6,f,felony petit theft,6,medium,0,male-african-american
male,26,25 - 45,african-american,0,0,1,3,f,grand theft (motor vehicle),6,medium,0,male-african-american
female,48,greater than 45,other,0,0,0,0,f,grand theft in the 3rd degree,1,low,0,female-other
male,21,less than 25,african-american,0,2,0,3,f,arrest case no charge,5,medium,1,male-african-american
